VacancyID,Job Title,Language,Education Level,Industry,Experience
49442,Cashier,French,High School,Wholesale and retail,5-10
31482,Data Analyst,Dutch,Bachelor,Administration,0-1
39069,Janitor,French,High School,Cleaning,10+
31129,Finance Manager,Dutch,Master,Cleaning,5-10
44258,Data Analyst,German,Master,Wholesale and retail,0-1
29771,Janitor,German,High School,Cleaning,2-4
34552,Cashier,French,High School,Wholesale and retail,2-4
35527,Data Analyst,Spanish,Master,Manufacturing,0-1
44603,Finance Manager,German,Bachelor,Manufacturing,10+
46906,Cashier,French,High School,Wholesale and retail,10+
42866,Cashier,German,High School,Wholesale and retail,10+
43750,Finance Manager,Dutch,Bachelor,Research,5-10
40424,Cashier,Dutch,High School,Wholesale and retail,10+
48190,Data Analyst,Dutch,Bachelor,Logistics,5-10
39762,Cleaner,Spanish,High School,Cleaning,5-10
39906,Administrative Clerk,Dutch,Bachelor,Administration,0-1
31406,Truck Driver,French,High School,Transport,5-10
42823,Truck Driver,German,High School,Transport,2-4
48799,Cashier,Spanish,High School,Wholesale and retail,2-4
49290,Janitor,German,High School,Cleaning,5-10
30974,Data Analyst,Dutch,Bachelor,Administration,2-4
47650,Cleaner,Spanish,High School,Cleaning,0-1
34855,Cashier,German,High School,Wholesale and retail,10+
31366,Cleaner,French,High School,Cleaning,5-10
41465,Finance Manager,Spanish,Bachelor,Research,10+
30119,Professor,German,PhD,Research,5-10
27099,Data Analyst,Dutch,Bachelor,Education,2-4
34155,Data Analyst,French,Master,Pharmaceutical,2-4
39162,Cashier,German,High School,Wholesale and retail,10+
30446,Professor,Spanish,PhD,Research,0-1
44465,Truck Driver,English,High School,Transport,10+
30243,Janitor,Spanish,High School,Cleaning,0-1
30432,Professor,Spanish,PhD,Research,5-10
31098,Professor,Spanish,PhD,Research,0-1
30264,Data Analyst,Dutch,Master,Education,2-4
42370,Truck Driver,French,High School,Transport,0-1
32311,Janitor,French,High School,Cleaning,5-10
31449,Cashier,French,High School,Wholesale and retail,10+
42107,Finance Manager,Spanish,Master,Cleaning,5-10
48617,Professor,Spanish,PhD,Research,2-4
27711,Truck Driver,English,High School,Transport,0-1
31451,Administrative Clerk,English,Bachelor,Administration,2-4
41388,Finance Manager,English,Master,Agriculture,10+
35664,Professor,English,PhD,Research,10+
30787,Cleaner,English,High School,Cleaning,10+
48655,Data Analyst,Dutch,Bachelor,Pharmaceutical,5-10
30353,Truck Driver,English,High School,Transport,5-10
32127,Cleaner,French,High School,Cleaning,5-10
36071,Truck Driver,Spanish,High School,Transport,5-10
44707,Truck Driver,Spanish,High School,Transport,2-4
25916,Cashier,German,High School,Wholesale and retail,10+
37609,Janitor,Dutch,High School,Cleaning,0-1
29737,Professor,French,PhD,Research,5-10
40904,Professor,German,PhD,Research,0-1
47336,Truck Driver,Dutch,High School,Transport,0-1
25899,Professor,French,PhD,Research,10+
44036,Administrative Clerk,Spanish,Bachelor,Administration,0-1
48114,Cashier,Spanish,High School,Wholesale and retail,5-10
34545,Finance Manager,English,Bachelor,Research,10+
26389,Truck Driver,Spanish,High School,Transport,10+
48564,Administrative Clerk,French,Bachelor,Administration,0-1
47527,Janitor,Spanish,High School,Cleaning,5-10
28143,Finance Manager,English,Bachelor,Technology,5-10
34107,Janitor,German,High School,Cleaning,5-10
34808,Administrative Clerk,German,High school,Administration,0-1
27439,Cashier,French,High School,Wholesale and retail,10+
30629,Truck Driver,Dutch,High School,Transport,10+
35208,Professor,Spanish,PhD,Research,5-10
36089,Cleaner,Dutch,High School,Cleaning,5-10
30257,Janitor,Spanish,High School,Cleaning,0-1
31080,Finance Manager,French,Master,Manufacturing,10+
44342,Cashier,English,High School,Wholesale and retail,2-4
30074,Data Analyst,French,Master,Hotels and restaurants,5-10
33246,Professor,French,PhD,Research,10+
37114,Data Analyst,Spanish,Bachelor,Construction,2-4
37710,Cleaner,French,High School,Cleaning,5-10
39509,Professor,Spanish,PhD,Research,10+
47130,Data Analyst,English,Master,Administration,2-4
25862,Cashier,Dutch,High School,Wholesale and retail,10+
42119,Cleaner,French,High School,Cleaning,2-4
46802,Administrative Clerk,English,Bachelor,Administration,5-10
46137,Cleaner,English,High School,Cleaning,10+
43590,Finance Manager,French,Bachelor,Research,5-10
32226,Professor,Spanish,PhD,Research,0-1
43851,Data Analyst,French,Bachelor,Financial intermediation,10+
48142,Janitor,Dutch,High School,Cleaning,2-4
32429,Data Analyst,English,Master,Agriculture,5-10
47851,Truck Driver,Dutch,High School,Transport,5-10
46107,Finance Manager,German,Bachelor,Construction,10+
36419,Finance Manager,German,Bachelor,Technology,10+
26134,Janitor,Spanish,High School,Cleaning,0-1
34161,Data Analyst,Dutch,Bachelor,Wholesale and retail,10+
38599,Data Analyst,Spanish,Master,Health and social services,10+
30121,Professor,German,PhD,Research,5-10
47746,Janitor,Dutch,High School,Cleaning,0-1
45107,Data Analyst,French,Master,Research,2-4
47662,Data Analyst,French,Bachelor,Transport,10+
31199,Finance Manager,Dutch,Bachelor,Education,5-10
31443,Finance Manager,Dutch,Master,Financial intermediation,5-10
46061,Janitor,English,High School,Cleaning,2-4
40044,Finance Manager,Spanish,Master,Transport,10+
34121,Finance Manager,English,Master,Construction,10+
28701,Cashier,Dutch,High School,Wholesale and retail,10+
36548,Truck Driver,German,High School,Transport,2-4
31448,Administrative Clerk,English,Bachelor,Administration,5-10
36207,Finance Manager,English,Master,Construction,10+
43115,Administrative Clerk,English,Bachelor,Administration,5-10
48836,Finance Manager,English,Master,Manufacturing,10+
32678,Cashier,English,High School,Wholesale and retail,0-1
31791,Finance Manager,Dutch,Bachelor,Pharmaceutical,5-10
48452,Truck Driver,Spanish,High School,Transport,10+
42115,Data Analyst,French,Bachelor,Education,2-4
39641,Data Analyst,Spanish,Master,Construction,0-1
41662,Data Analyst,Spanish,Bachelor,Financial intermediation,2-4
46101,Janitor,Spanish,High School,Cleaning,5-10
44088,Finance Manager,French,Master,Construction,10+
36968,Janitor,Dutch,High School,Cleaning,0-1
45452,Janitor,French,High School,Cleaning,10+
27612,Administrative Clerk,Dutch,Bachelor,Administration,5-10
48966,Administrative Clerk,French,Bachelor,Administration,10+
44970,Data Analyst,Spanish,Master,Wholesale and retail,0-1
25709,Finance Manager,English,Bachelor,Energy,10+
36153,Administrative Clerk,German,High school,Administration,2-4
32940,Cleaner,English,High School,Cleaning,10+
49984,Cleaner,German,High School,Cleaning,5-10
26058,Cashier,Dutch,High School,Wholesale and retail,2-4
43983,Data Analyst,German,Master,Wholesale and retail,2-4
45940,Janitor,Spanish,High School,Cleaning,2-4
49399,Cleaner,Spanish,High School,Cleaning,2-4
33781,Data Analyst,French,Bachelor,Technology,5-10
36151,Finance Manager,French,Master,Agriculture,5-10
43396,Finance Manager,Dutch,Bachelor,Hotels and restaurants,10+
40802,Janitor,French,High School,Cleaning,0-1
36843,Cleaner,English,High School,Cleaning,0-1
43691,Janitor,Dutch,High School,Cleaning,0-1
36324,Cleaner,English,High School,Cleaning,5-10
26940,Finance Manager,English,Master,Research,5-10
41672,Professor,English,PhD,Research,2-4
47916,Cashier,Spanish,High School,Wholesale and retail,10+
31068,Finance Manager,English,Bachelor,Financial intermediation,5-10
36317,Professor,Dutch,PhD,Research,5-10
40631,Cashier,Spanish,High School,Wholesale and retail,0-1
29231,Professor,French,PhD,Research,5-10
32373,Finance Manager,German,Master,Research,10+
30961,Administrative Clerk,Spanish,Bachelor,Administration,10+
49283,Janitor,English,High School,Cleaning,5-10
47877,Finance Manager,French,Bachelor,Education,10+
47312,Administrative Clerk,English,High school,Administration,2-4
31262,Truck Driver,German,High School,Transport,10+
25460,Data Analyst,German,Master,Manufacturing,0-1
25187,Cleaner,English,High School,Cleaning,10+
40796,Professor,Dutch,PhD,Research,2-4
25147,Truck Driver,French,High School,Transport,0-1
43336,Cashier,English,High School,Wholesale and retail,0-1
38808,Administrative Clerk,German,Bachelor,Administration,0-1
27296,Finance Manager,Spanish,Bachelor,Agriculture,10+
43270,Cleaner,English,High School,Cleaning,0-1
39279,Cleaner,English,High School,Cleaning,5-10
44760,Data Analyst,German,Master,Hotels and restaurants,0-1
34946,Janitor,German,High School,Cleaning,0-1
41481,Finance Manager,Dutch,Master,Education,5-10
34765,Cashier,German,High School,Wholesale and retail,0-1
37905,Cleaner,German,High School,Cleaning,2-4
47324,Administrative Clerk,French,Bachelor,Administration,2-4
39955,Truck Driver,English,High School,Transport,5-10
34344,Janitor,German,High School,Cleaning,0-1
40283,Cleaner,French,High School,Cleaning,5-10
45648,Professor,German,PhD,Research,0-1
49682,Cashier,English,High School,Wholesale and retail,0-1
36472,Finance Manager,German,Master,Wholesale and retail,10+
30512,Truck Driver,German,High School,Transport,5-10
49352,Janitor,Spanish,High School,Cleaning,10+
45309,Professor,Spanish,PhD,Research,2-4
28211,Finance Manager,French,Master,Agriculture,10+
33811,Administrative Clerk,German,Bachelor,Administration,10+
42948,Janitor,French,High School,Cleaning,0-1
33180,Janitor,English,High School,Cleaning,2-4
49247,Finance Manager,Spanish,Master,Health and social services,10+
37018,Administrative Clerk,Spanish,Bachelor,Administration,2-4
46179,Professor,Dutch,PhD,Research,0-1
37479,Truck Driver,Dutch,High School,Transport,0-1
36897,Data Analyst,Spanish,Bachelor,Pharmaceutical,10+
26355,Data Analyst,German,Master,Manufacturing,10+
43219,Administrative Clerk,Dutch,High school,Administration,5-10
45907,Finance Manager,Dutch,Master,Research,5-10
37485,Truck Driver,Dutch,High School,Transport,0-1
43723,Finance Manager,German,Bachelor,Technology,10+
29469,Cleaner,English,High School,Cleaning,0-1
46777,Cleaner,English,High School,Cleaning,2-4
29568,Administrative Clerk,French,High school,Administration,5-10
40011,Truck Driver,French,High School,Transport,10+
46647,Finance Manager,Spanish,Master,Logistics,10+
25023,Administrative Clerk,German,High school,Administration,10+
49455,Data Analyst,Dutch,Bachelor,Health and social services,5-10
30660,Finance Manager,German,Master,Construction,10+
35910,Professor,English,PhD,Research,0-1
29266,Administrative Clerk,English,Bachelor,Administration,2-4
47200,Data Analyst,German,Master,Agriculture,5-10
47387,Professor,English,PhD,Research,2-4
37091,Professor,English,PhD,Research,10+
45813,Data Analyst,Dutch,Master,Wholesale and retail,2-4
46889,Finance Manager,German,Bachelor,Pharmaceutical,10+
48161,Cashier,Dutch,High School,Wholesale and retail,10+
33657,Cleaner,English,High School,Cleaning,5-10
45510,Cashier,Spanish,High School,Wholesale and retail,5-10
28386,Janitor,Dutch,High School,Cleaning,5-10
28624,Truck Driver,Spanish,High School,Transport,0-1
49445,Cashier,Spanish,High School,Wholesale and retail,2-4
46888,Truck Driver,French,High School,Transport,10+
27035,Truck Driver,Spanish,High School,Transport,0-1
49591,Administrative Clerk,French,High school,Administration,2-4
37058,Cleaner,Dutch,High School,Cleaning,0-1
36636,Professor,Spanish,PhD,Research,2-4
49212,Administrative Clerk,French,Bachelor,Administration,2-4
38451,Truck Driver,German,High School,Transport,0-1
30831,Administrative Clerk,English,High school,Administration,5-10
46409,Cleaner,German,High School,Cleaning,10+
34938,Cashier,Dutch,High School,Wholesale and retail,5-10
27350,Cleaner,French,High School,Cleaning,10+
29681,Professor,English,PhD,Research,5-10
38855,Cashier,German,High School,Wholesale and retail,10+
46618,Finance Manager,Spanish,Master,Hotels and restaurants,10+
38375,Administrative Clerk,English,Bachelor,Administration,10+
39605,Data Analyst,Dutch,Master,Education,10+
38792,Cleaner,French,High School,Cleaning,5-10
46131,Administrative Clerk,German,Bachelor,Administration,10+
41627,Data Analyst,German,Bachelor,Transport,0-1
25858,Finance Manager,English,Master,Hotels and restaurants,10+
46213,Janitor,French,High School,Cleaning,0-1
43665,Janitor,French,High School,Cleaning,5-10
33694,Cleaner,French,High School,Cleaning,5-10
26618,Truck Driver,Spanish,High School,Transport,0-1
49215,Administrative Clerk,Spanish,Bachelor,Administration,5-10
35259,Truck Driver,French,High School,Transport,2-4
43627,Finance Manager,French,Master,Research,10+
38183,Data Analyst,German,Master,Administration,5-10
34904,Finance Manager,Spanish,Master,Logistics,5-10
40856,Cleaner,German,High School,Cleaning,10+
26161,Janitor,French,High School,Cleaning,5-10
33139,Data Analyst,German,Master,Wholesale and retail,5-10
31567,Administrative Clerk,German,Bachelor,Administration,0-1
38904,Janitor,English,High School,Cleaning,10+
33738,Janitor,Dutch,High School,Cleaning,2-4
30588,Janitor,German,High School,Cleaning,5-10
34472,Cleaner,Dutch,High School,Cleaning,2-4
35647,Janitor,German,High School,Cleaning,2-4
49895,Professor,German,PhD,Research,2-4
31508,Professor,English,PhD,Research,2-4
48434,Truck Driver,Spanish,High School,Transport,0-1
30108,Administrative Clerk,French,High school,Administration,10+
25769,Finance Manager,English,Bachelor,Logistics,5-10
39096,Finance Manager,French,Master,Agriculture,5-10
35492,Finance Manager,Spanish,Bachelor,Technology,10+
33869,Finance Manager,Spanish,Bachelor,Administration,10+
48805,Administrative Clerk,Dutch,Bachelor,Administration,5-10
49003,Finance Manager,French,Master,Wholesale and retail,10+
32371,Cashier,French,High School,Wholesale and retail,2-4
29596,Professor,German,PhD,Research,10+
38369,Cleaner,French,High School,Cleaning,0-1
45773,Janitor,English,High School,Cleaning,2-4
27201,Administrative Clerk,Dutch,Bachelor,Administration,5-10
34665,Cleaner,English,High School,Cleaning,5-10
32231,Finance Manager,Dutch,Master,Research,10+
34778,Data Analyst,Spanish,Bachelor,Education,5-10
26923,Cashier,English,High School,Wholesale and retail,5-10
47790,Data Analyst,French,Master,Transport,10+
46816,Truck Driver,Spanish,High School,Transport,0-1
31808,Administrative Clerk,English,High school,Administration,0-1
40679,Administrative Clerk,Spanish,Bachelor,Administration,5-10
27333,Professor,English,PhD,Research,2-4
36313,Truck Driver,German,High School,Transport,2-4
29895,Cleaner,English,High School,Cleaning,5-10
48307,Cashier,English,High School,Wholesale and retail,0-1
33733,Truck Driver,French,High School,Transport,2-4
31229,Administrative Clerk,French,High school,Administration,5-10
28925,Professor,English,PhD,Research,5-10
26410,Data Analyst,Dutch,Bachelor,Administration,5-10
44946,Administrative Clerk,French,High school,Administration,2-4
27129,Data Analyst,Spanish,Bachelor,Research,10+
35983,Administrative Clerk,German,High school,Administration,5-10
47146,Janitor,German,High School,Cleaning,0-1
38477,Administrative Clerk,English,High school,Administration,2-4
42482,Cleaner,Spanish,High School,Cleaning,0-1
33109,Cashier,English,High School,Wholesale and retail,10+
46318,Data Analyst,French,Bachelor,Financial intermediation,10+
25989,Cleaner,English,High School,Cleaning,5-10
45287,Professor,Spanish,PhD,Research,10+
49156,Data Analyst,Dutch,Master,Wholesale and retail,2-4
36966,Finance Manager,Spanish,Master,Hotels and restaurants,5-10
32890,Professor,French,PhD,Research,5-10
48810,Janitor,Dutch,High School,Cleaning,10+
27557,Data Analyst,Spanish,Bachelor,Research,2-4
49493,Truck Driver,French,High School,Transport,10+
31106,Administrative Clerk,French,Bachelor,Administration,10+
30359,Truck Driver,Spanish,High School,Transport,2-4
36910,Data Analyst,German,Bachelor,Transport,2-4
30356,Finance Manager,Dutch,Master,Technology,10+
49171,Professor,French,PhD,Research,10+
38168,Truck Driver,French,High School,Transport,2-4
34033,Professor,French,PhD,Research,0-1
44218,Janitor,Spanish,High School,Cleaning,2-4
39557,Cleaner,Dutch,High School,Cleaning,10+
34232,Finance Manager,English,Bachelor,Transport,5-10
39354,Data Analyst,French,Master,Logistics,2-4
42991,Cleaner,German,High School,Cleaning,5-10
40190,Cashier,French,High School,Wholesale and retail,0-1
27024,Cashier,Spanish,High School,Wholesale and retail,2-4
39250,Janitor,German,High School,Cleaning,5-10
39363,Data Analyst,Dutch,Bachelor,Transport,5-10
46317,Cleaner,Spanish,High School,Cleaning,10+
45516,Administrative Clerk,German,High school,Administration,0-1
37496,Cleaner,German,High School,Cleaning,2-4
34519,Truck Driver,German,High School,Transport,2-4
34235,Janitor,German,High School,Cleaning,0-1
30352,Data Analyst,German,Bachelor,Wholesale and retail,0-1
41590,Janitor,Dutch,High School,Cleaning,10+
38553,Cashier,Spanish,High School,Wholesale and retail,10+
45554,Professor,Spanish,PhD,Research,0-1
32627,Professor,French,PhD,Research,0-1
26213,Professor,German,PhD,Research,10+
40293,Finance Manager,Spanish,Master,Education,10+
46596,Cashier,Spanish,High School,Wholesale and retail,5-10
49152,Janitor,French,High School,Cleaning,5-10
25981,Administrative Clerk,Dutch,Bachelor,Administration,0-1
40080,Finance Manager,German,Bachelor,Agriculture,5-10
42178,Janitor,Dutch,High School,Cleaning,10+
27600,Finance Manager,Dutch,Bachelor,Agriculture,10+
49070,Data Analyst,French,Master,Education,5-10
26304,Professor,German,PhD,Research,10+
48978,Finance Manager,English,Master,Health and social services,10+
27268,Data Analyst,French,Master,Manufacturing,5-10
49025,Cleaner,Dutch,High School,Cleaning,2-4
26202,Cleaner,French,High School,Cleaning,5-10
28577,Cleaner,French,High School,Cleaning,0-1
29431,Finance Manager,Spanish,Master,Agriculture,10+
34645,Janitor,French,High School,Cleaning,2-4
34503,Data Analyst,English,Master,Pharmaceutical,0-1
42161,Cashier,English,High School,Wholesale and retail,0-1
25304,Truck Driver,French,High School,Transport,2-4
37188,Cleaner,German,High School,Cleaning,2-4
37837,Cashier,German,High School,Wholesale and retail,2-4
44858,Cashier,Spanish,High School,Wholesale and retail,0-1
45978,Cashier,Dutch,High School,Wholesale and retail,10+
34743,Administrative Clerk,German,High school,Administration,10+
29222,Cashier,English,High School,Wholesale and retail,10+
28434,Data Analyst,Spanish,Master,Logistics,0-1
28686,Professor,Spanish,PhD,Research,10+
41688,Professor,English,PhD,Research,10+
40807,Finance Manager,German,Master,Financial intermediation,10+
35073,Finance Manager,English,Bachelor,Energy,10+
48477,Janitor,Dutch,High School,Cleaning,10+
44216,Administrative Clerk,English,Bachelor,Administration,10+
46395,Finance Manager,Spanish,Master,Education,10+
25648,Data Analyst,Spanish,Master,Pharmaceutical,0-1
25837,Data Analyst,English,Bachelor,Construction,0-1
34158,Truck Driver,French,High School,Transport,0-1
33395,Truck Driver,Dutch,High School,Transport,0-1
44143,Janitor,French,High School,Cleaning,5-10
27280,Data Analyst,French,Bachelor,Energy,0-1
26791,Data Analyst,German,Master,Pharmaceutical,2-4
46558,Finance Manager,Dutch,Master,Wholesale and retail,10+
48695,Professor,Spanish,PhD,Research,2-4
27023,Administrative Clerk,English,High school,Administration,10+
39396,Cleaner,French,High School,Cleaning,2-4
30556,Administrative Clerk,Spanish,High school,Administration,10+
47893,Data Analyst,English,Master,Pharmaceutical,0-1
31303,Administrative Clerk,Spanish,Bachelor,Administration,0-1
47535,Finance Manager,German,Bachelor,Technology,5-10
27340,Truck Driver,English,High School,Transport,10+
48986,Janitor,German,High School,Cleaning,10+
34616,Cashier,French,High School,Wholesale and retail,5-10
43679,Janitor,German,High School,Cleaning,2-4
30669,Cleaner,English,High School,Cleaning,2-4
26009,Professor,English,PhD,Research,5-10
34281,Truck Driver,Dutch,High School,Transport,2-4
44692,Finance Manager,Spanish,Master,Pharmaceutical,10+
31816,Finance Manager,Spanish,Bachelor,Pharmaceutical,5-10
25534,Janitor,French,High School,Cleaning,2-4
48362,Data Analyst,French,Bachelor,Construction,2-4
38575,Administrative Clerk,Dutch,Bachelor,Administration,2-4
34476,Finance Manager,Spanish,Bachelor,Wholesale and retail,5-10
26855,Truck Driver,French,High School,Transport,5-10
33681,Professor,German,PhD,Research,2-4
27805,Truck Driver,Spanish,High School,Transport,5-10
29263,Professor,English,PhD,Research,10+
27405,Cleaner,French,High School,Cleaning,10+
26934,Truck Driver,Spanish,High School,Transport,10+
40022,Cleaner,Spanish,High School,Cleaning,2-4
26315,Truck Driver,German,High School,Transport,10+
46996,Administrative Clerk,English,Bachelor,Administration,10+
33995,Administrative Clerk,English,High school,Administration,5-10
47448,Janitor,French,High School,Cleaning,5-10
31782,Janitor,English,High School,Cleaning,10+
27459,Cleaner,French,High School,Cleaning,5-10
25958,Truck Driver,Dutch,High School,Transport,0-1
36404,Finance Manager,English,Master,Energy,5-10
37140,Finance Manager,French,Master,Energy,5-10
25306,Professor,French,PhD,Research,5-10
32112,Finance Manager,Dutch,Master,Health and social services,10+
27889,Administrative Clerk,Spanish,Bachelor,Administration,0-1
36942,Professor,German,PhD,Research,0-1
48854,Cleaner,English,High School,Cleaning,5-10
42112,Truck Driver,Dutch,High School,Transport,5-10
41829,Administrative Clerk,Dutch,Bachelor,Administration,10+
39933,Professor,English,PhD,Research,0-1
43011,Administrative Clerk,French,High school,Administration,2-4
35371,Cashier,English,High School,Wholesale and retail,10+
26275,Cashier,French,High School,Wholesale and retail,2-4
37683,Administrative Clerk,Spanish,Bachelor,Administration,2-4
38608,Finance Manager,Dutch,Master,Education,10+
25506,Data Analyst,French,Bachelor,Construction,10+
39112,Finance Manager,French,Bachelor,Financial intermediation,10+
39578,Professor,English,PhD,Research,2-4
36722,Truck Driver,German,High School,Transport,0-1
46217,Professor,Spanish,PhD,Research,5-10
28794,Janitor,Dutch,High School,Cleaning,10+
33759,Truck Driver,Spanish,High School,Transport,5-10
28802,Data Analyst,German,Bachelor,Health and social services,2-4
33680,Finance Manager,English,Bachelor,Construction,10+
42118,Data Analyst,German,Master,Hotels and restaurants,5-10
32470,Professor,Spanish,PhD,Research,10+
27359,Cashier,Dutch,High School,Wholesale and retail,10+
35884,Administrative Clerk,Dutch,Bachelor,Administration,0-1
38211,Finance Manager,English,Bachelor,Education,10+
25689,Professor,French,PhD,Research,2-4
43574,Professor,German,PhD,Research,2-4
36508,Truck Driver,French,High School,Transport,5-10
28947,Data Analyst,Dutch,Bachelor,Agriculture,2-4
33711,Cashier,French,High School,Wholesale and retail,2-4
48573,Finance Manager,Dutch,Master,Manufacturing,5-10
29312,Professor,Dutch,PhD,Research,2-4
40003,Administrative Clerk,Dutch,High school,Administration,5-10
40537,Administrative Clerk,English,Bachelor,Administration,5-10
26696,Janitor,English,High School,Cleaning,10+
47456,Finance Manager,French,Bachelor,Hotels and restaurants,5-10
30115,Cashier,English,High School,Wholesale and retail,10+
27132,Truck Driver,English,High School,Transport,10+
36232,Data Analyst,French,Master,Technology,5-10
32548,Cashier,French,High School,Wholesale and retail,10+
42691,Finance Manager,Spanish,Bachelor,Cleaning,10+
37724,Professor,German,PhD,Research,10+
28764,Administrative Clerk,German,High school,Administration,0-1
28432,Truck Driver,German,High School,Transport,10+
35976,Data Analyst,German,Master,Financial intermediation,2-4
29004,Finance Manager,Dutch,Bachelor,Transport,10+
28850,Janitor,German,High School,Cleaning,0-1
27598,Truck Driver,Dutch,High School,Transport,2-4
48245,Cleaner,Spanish,High School,Cleaning,5-10
39236,Data Analyst,German,Master,Hotels and restaurants,5-10
30708,Administrative Clerk,English,High school,Administration,5-10
48754,Janitor,Spanish,High School,Cleaning,2-4
40430,Cleaner,English,High School,Cleaning,0-1
28153,Cleaner,French,High School,Cleaning,0-1
33391,Finance Manager,French,Master,Financial intermediation,10+
31810,Finance Manager,Spanish,Bachelor,Agriculture,10+
49623,Cleaner,German,High School,Cleaning,2-4
37118,Data Analyst,Dutch,Bachelor,Manufacturing,2-4
45197,Cashier,Dutch,High School,Wholesale and retail,5-10
31318,Professor,Dutch,PhD,Research,0-1
33627,Truck Driver,Spanish,High School,Transport,0-1
28666,Truck Driver,German,High School,Transport,5-10
26172,Data Analyst,Spanish,Bachelor,Construction,10+
37875,Truck Driver,English,High School,Transport,2-4
28442,Cashier,Dutch,High School,Wholesale and retail,10+
46207,Truck Driver,Dutch,High School,Transport,10+
38824,Janitor,English,High School,Cleaning,10+
35670,Cashier,English,High School,Wholesale and retail,2-4
25342,Finance Manager,Dutch,Master,Agriculture,5-10
45703,Janitor,Dutch,High School,Cleaning,2-4
33348,Data Analyst,French,Master,Construction,10+
47857,Professor,English,PhD,Research,5-10
41349,Truck Driver,Dutch,High School,Transport,5-10
31121,Truck Driver,German,High School,Transport,10+
35408,Truck Driver,English,High School,Transport,10+
36396,Janitor,Spanish,High School,Cleaning,0-1
32060,Truck Driver,Dutch,High School,Transport,10+
28981,Truck Driver,Dutch,High School,Transport,2-4
47898,Professor,English,PhD,Research,2-4
26181,Administrative Clerk,German,High school,Administration,0-1
41279,Data Analyst,Spanish,Master,Manufacturing,0-1
31556,Cashier,German,High School,Wholesale and retail,0-1
41360,Finance Manager,French,Bachelor,Technology,5-10
27438,Professor,Spanish,PhD,Research,0-1
31125,Administrative Clerk,Spanish,Bachelor,Administration,0-1
29772,Cashier,Dutch,High School,Wholesale and retail,5-10
25226,Professor,English,PhD,Research,2-4
39376,Cashier,French,High School,Wholesale and retail,10+
29753,Administrative Clerk,German,Bachelor,Administration,10+
35549,Finance Manager,German,Bachelor,Logistics,5-10
49041,Administrative Clerk,Dutch,Bachelor,Administration,10+
26044,Truck Driver,Dutch,High School,Transport,2-4
42883,Cashier,English,High School,Wholesale and retail,5-10
46233,Janitor,English,High School,Cleaning,0-1
35033,Administrative Clerk,English,Bachelor,Administration,5-10
35515,Janitor,Spanish,High School,Cleaning,10+
48744,Data Analyst,Spanish,Bachelor,Financial intermediation,5-10
49498,Finance Manager,German,Bachelor,Manufacturing,5-10
30794,Professor,German,PhD,Research,0-1
34852,Janitor,English,High School,Cleaning,5-10
25656,Administrative Clerk,French,High school,Administration,0-1
